mcc,mcc_ci_low,mcc_ci_high,mcc_fixed_prev,f1,f1_ci_low,f1_ci_high,pr_auc,pr_auc_ci_low,pr_auc_ci_high,prevalence,n,flag_rate,starting_year,strategy,month
0.10438243344706055,0.06726301520509075,0.14738312475656185,0.09215171336072635,0.0728051391862955,0.047708779719093646,0.10246006999681832,0.05688938388689912,0.02274829406843173,0.11546039128865995,0.0006913388208352237,92574,0.0043532741374467995,2018,incremental_online,2023-08-01
0.0937581693490301,0.055479595993194686,0.1370074294366393,0.09519654124761363,0.05758157389635317,0.034474579598246416,0.08190003310162199,0.05574945217249283,0.014857522739052267,0.133874696958673,0.0005912605004518123,89639,0.005220941777574493,2018,incremental_online,2023-09-01
0.15183016903665184,0.10853381778577433,0.1919557849497764,0.14135115448877808,0.10016155088852989,0.07270703611457036,0.1264310731543321,0.07751548939710695,0.04016975056428905,0.16112628010071509,0.0007950895270807493,94329,0.005767049369759035,2018,incremental_online,2023-10-01
0.10127807626224654,0.06420417323770615,0.13635077254835862,0.10216851290387519,0.06125574272588055,0.038946435872972605,0.0815536379625278,0.04459076189534578,0.014350786937198387,0.11693307075661946,0.0006885348194209853,92951,0.006336672009983755,2018,incremental_online,2023-11-01
0.042730315817450557,0.013069522319888765,0.07580144499280905,0.05179809225999345,0.023809523809523808,0.007735828001785449,0.042012190387452464,0.008709250752034978,0.002950977776142278,0.027007555508205185,0.0004180558313562776,95681,0.00484944764373282,2018,incremental_online,2023-12-01
0.09731077876641592,0.051797443901657914,0.1461841235106476,0.0814626750065115,0.07894736842105263,0.04288972296693477,0.11852051512428871,0.03207119467811632,0.01894076010071733,0.06338511417869432,0.0007818527853505478,97205,0.0031274111414021913,2018,incremental_online,2024-01-01
0.07158517625955461,0.030742129149339235,0.12458542761963633,0.05714192957085429,0.05660377358490566,0.02476210374366085,0.09942151891356298,0.03970809065374236,0.014799217503302015,0.10304755926515519,0.0006417438028214973,91937,0.002817146524250302,2018,incremental_online,2024-02-01
0.07734645234194827,0.04110836135178656,0.11736212099686472,0.08395051315407887,0.04899777282850779,0.026330209226463258,0.0730647732640529,0.01277501993358271,0.006338224857433255,0.025961953180326788,0.0004894958193061147,100103,0.003995884239233589,2018,incremental_online,2024-03-01
0.12245416024735609,0.07077573381294741,0.17696346564752072,0.14201056548146146,0.08042895442359249,0.04584417856908506,0.11828032712403454,0.06694593327138224,0.018704674482540748,0.15376970864768083,0.00046169472744621255,97467,0.0033652415689412827,2018,incremental_online,2024-04-01
0.07772276381130275,0.040526536742841957,0.11413654171910748,0.07197996883319388,0.0633245382585752,0.03466730162900683,0.09254743876214425,0.05475096686606581,0.015116557905728438,0.09914011369844829,0.0007514633760480937,101136,0.002995965828191742,2018,incremental_online,2024-05-01
0.11651944242961741,0.08530043441826869,0.1529430369856639,0.11173268104974471,0.06640106241699867,0.048606545797033204,0.08541570140183392,0.03793059799364693,0.019545965126911695,0.08862048670967296,0.0006595502881727413,98552,0.006981086127120708,2018,incremental_online,2024-06-01
0.09329772991989571,0.048230423412595216,0.13274745008195352,0.08098652854415546,0.07509881422924901,0.039646301876242546,0.1058927744326077,0.03986971249156253,0.020086601021535186,0.09215701684786726,0.000956564177647633,102450,0.003982430453879942,2018,incremental_online,2024-07-01
0.08025095426271484,0.05873787127991903,0.11608682083615836,0.0709701453042307,0.04631578947368421,0.0346024104418068,0.06554262686132513,0.026556158787602823,0.011189815837470155,0.062252439137258815,0.0007932208636433988,103376,0.008396533044420368,2018,incremental_online,2024-08-01
0.10546086982138478,0.06235396505112195,0.1432925298664738,0.10821622489267804,0.06868686868686869,0.04148523811963185,0.09390112189386847,0.030664503398649533,0.013263162797722827,0.06133295255342859,0.0005753568700586269,100807,0.004335016417510689,2018,incremental_online,2024-09-01
